Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
OTHR PLTS&SHTS&FILM FOIL&STRIP ETC NES FLEXIBLE& LAMINATED,39219096,1.29,-3.6,72.69,-2.06,0.02,0.04,560.52,4.59,-0.41,3.36,KGS
OTHR PLTS&SHTS&FILM FOIL&STRIP ETC NES OTHER,39219099,223.02,-0.32,134.69,10.02,1.66,1.98,-1.03,3.06,-0.93,2.89,KGS
BATHS SHOWER-BATHS AND WASH-BASINS,39221000,6.16,0.62,4.76,9.5,1.29,1.36,-0.33,8.26,-0.25,6.15,KGS
LAVATORY SEATS AND COVERS,39222000,14.28,1.77,4.27,5.26,3.34,2.95,-0.13,5.91,1.7,3.46,KGS
OTHR SANITARY ARTICLES,39229000,78.93,0.11,10.18,6.6,7.75,8.38,-0.04,6.88,0.7,6.2,KGS
PLASTIC CONTAINERS FOR AUDIO OR VIDEO CASSETTES& CASSETTE TAPES& FLOPPY DISK ETC,39231010,1.24,1.18,1.22,-15.41,1.02,0.66,5.33,12.36,-1.63,3.6,KGS
WATCHBOX JEWELLERY BOX AND SIMILAR CONTAINER OF PLASTICS,39231020,2.33,-0.07,0.71,-11.55,3.28,2.7,-1,3.7,0.38,4.13,KGS
BOXS CASES CRATES AND SMLR ARTCLS OF PLSTCS INSULATED WARE,39231030,0.61,2.03,10.38,-11.46,0.06,0.04,-0.32,8.46,-0.86,4.47,KGS
PACKING FOR ACCOMMODATING CONNECTORS,39231040,1.68,5.83,0.15,68.42,11.2,12.18,3.54,5.91,4.37,7.71,KGS
BOX CASE CRATE AND SMLR ARTCLS OF PLSTCS NES,39231090,59.77,0.79,43.24,1.39,1.38,1.28,-0.92,4.08,-0.09,2.9,KGS
SACKS AND BAGS OF POLYETHYLENE (INCL CONES),39232100,18.99,-0.24,210.42,1.53,0.09,0.1,-1.09,8.26,-0.55,1.9,KGS
SACKS AND BAGS (INCL CONES)OF OTHR PLASTICS OF POLY (VINYL CHLORIDE),39232910,0.88,1.67,0.85,-11.13,1.04,0.7,-0.71,4.35,-0.09,3.53,KGS
SACK AND BAG (INCL CONES)OF OTHR PLASTIC NES,39232990,33.22,-0.18,455.93,4.35,0.07,0.08,0.14,7.43,-0.52,1.96,KGS
CRBYS BTTLS FLSKS AND SMLR ARTCLS OF PLSTCS INSULATED WARE,39233010,9.85,5.57,1.46,58.96,6.75,7.09,-0.44,17.15,-1.22,3.76,KGS
CRBYS BTTLS FLSKAND SMLR ARTCL OF PLSTCS NES,39233090,49.19,1.02,58.72,10.5,0.84,0.85,-0.24,6.61,0.51,4.79,KGS
SPLS COPS BOBBINS AND SMLR SPPRTS OF PLSTCS,39234000,9.73,2.84,6.1,-6.88,1.6,1.06,3.94,5.09,-0.58,2.69,KGS
CAPS AND CLOSURES FOR BOTTLES,39235010,23.88,-0.42,68.23,3.8,0.35,0.39,0.13,8.52,-0.28,4.24,KGS
OTHR STOPRS LID CAPSANDOTHR CLSRES OF PLSTCS,39235090,64.85,2.45,34.79,8.2,1.86,1.61,0.48,13.51,0.79,5.48,KGS
OTHR ARTCLS FOR THE CNVYNCE/PCKNG OF GOODSINSULATED WARE,39239010,0.39,-1.59,0.41,-0.8,0.95,1.22,4.58,10.03,-0.98,2.88,KGS
OTHR ARTCLS FOR THE CNVYNCE/PCKNG OF GOODSASEPTIC BAGS,39239020,13.37,-0.4,5.96,-9.64,2.24,2.01,-1.13,7.96,-1.14,15.07,KGS
OTHR ARTCLS FOR CNVYNCE/PCKNG OF GOODS NES,39239090,105.65,-0.2,186.91,8.65,0.57,0.65,-0.46,6.55,-0.46,2.76,KGS
TABLEWARE AND KITCHENWARE OF PLASTICS INSULATED WARE,39241010,1.84,0.63,67.3,2.62,0.03,0.03,1.22,5.7,-0.56,4.19,KGS
OTHER TABLEWARE AND KITCHENWARE OF PLASTICS,39241090,31.34,2.75,95.99,3.45,0.33,0.26,-0.79,2.62,-0.36,2.84,KGS
TOILET ARTICLES,39249010,6.84,1.63,1.01,-41.91,6.77,1.15,-0.01,7.37,-3.8,3.6,KGS
OTHR HOUSEHOLD AND TOILT ARTCLS OF PLSTCS INSULATED WARE,39249020,0.11,-0.46,0.1,-19.39,1.1,0.8,5.73,4.39,5.73,7.09,KGS
OTHR HOUSHOLD ANDTOILT ARTCLS OF PLSTCS NES,39249090,38.41,0.85,59.19,-0.84,0.65,0.58,-0.49,2.91,-0.64,2.99,KGS
RESRVRS TANKS VATS AND SMLR CONTNR UPTO 300L,39251000,5.83,0.13,4.29,24.57,1.36,1.77,0.44,2.91,4.9,5.8,KGS
DOORS WNDOWS AND THR FRMS THRSHLDS FOR DOORS,39252000,6.46,-2.23,6.58,15.32,0.98,1.79,-0.37,1.66,-0.7,3.77,KGS
SHUTTERS BLINDS(INCLUDING VENETIAN BLINDS)AND SIMILAR ARTICLES AND PARTS THEREOF,39253000,5.69,1.7,1.34,9.12,4.25,3.96,-1.01,4.34,2.62,8.16,KGS
OTHR BUILDER WARE OF PLSTCS OF POLYURETHNE,39259010,2.52,5.64,2.34,101.95,1.08,1.35,3.09,8.85,0.13,3.29,KGS
OTHER BUILDERS WARE OF PLASTICS NES,39259090,71.55,1.63,58.95,12.82,1.21,1.19,-0.97,0.81,-0.58,2.2,KGS
OFFICE SUPPLIES EXCL PINS CLIPS WRITING INSTRUMENTS OF POLYURETHANE FOAM,39261011,0.94,5.25,0.28,-4.84,3.36,1.98,-0.96,4.13,-1.18,5.92,KGS
OFFICE SUPPLIES EXCL PINS CLIPS WRITING INSTRUMENTS OF OTHER MAKE,39261019,11.01,1.79,2.62,0.71,4.2,3.47,-1.17,1.06,0.07,5.14,KGS
OTHER ARTICLS OF OFFICE OR SCHOOL SUPPLIESOF POLYURETHANE FOAM,39261091,0.52,0.86,0.14,-1.16,3.71,3.28,2.92,18.53,1.03,6.66,KGS
OTHER OFFICE OR SCHOOL SUPPLIES NES,39261099,2.45,3.04,13.47,-9.38,0.18,0.11,-0.68,3.13,-0.82,4,KGS
DISPOSABLE GLOVES,39262011,1.35,-2.26,1.23,6.94,1.1,1.83,-1.1,2.6,0.39,4.66,KGS
NON-DISPOSABLE GLOVES,39262019,1.02,0.79,0.1,7.69,10.2,10.28,0.34,3.81,2.29,17.49,KGS
APRON OF POLYURETHANE FOAM,39262021,0.01,-4.98,0,-50,0,3,-4.84,7.82,-5.56,0,KGS
OTHER APRON,39262029,1.73,2.54,2.26,11.3,0.77,0.68,-3.05,0.65,5.37,11.53,KGS
PLASTIC STICKERS FOR GARMENTS OF POLYURETHANE FOAM,39262031,0.01,-1.39,0.01,100,1,2.5,1.92,1.94,-23.22,14.81,KGS
OTHER PLASTIC STICKERS FOR GARMENTS,39262039,2.43,6.83,0.21,6.25,11.57,7.4,-2.01,1.37,-28.79,5.59,KGS
COLAR STAYS&PATTIES&BUTTERFLY&SHOLUDER- PADAND OTHER STAYS OF POLYURETHANE FOAM,39262041,0.01,-1.39,0.04,16.67,0.25,0.38,4.91,21.1,-0.5,26.28,KGS
OTHR COLAR STAYS&PATTIES&BUTTERFLY& SHOLUDRAND OTHER STAYS,39262049,0.65,-1.48,0.18,11.36,3.61,5.34,0.81,8.25,-0.37,5.01,KGS
OTHER ARTCLS OF APRL OF POLYURETHANE FOAM,39262091,1.07,-0.14,0,-50,0,218,3.39,7.95,-5.56,0,KGS
OTHER ARTCLS OF APRL NES,39262099,3.41,2.9,1.73,-12.23,1.97,1.18,-0.41,4.37,3.03,13.97,KGS
FITTINGS FOR FURNITURE COACHWORK/THE LIKE OF POLYURETHANE FOAM,39263010,0.05,-3.57,0.05,-5.88,1,2.14,-4.49,0.5,1.74,6.84,KGS
OTHR FITTING FOR FURNITUR COACHWORK/ LIKE,39263090,12.86,-0.45,5.05,-5.34,2.55,2.49,-0.87,8.09,-0.03,8.13,KGS
BANGLES OF POLYURETHANE FOAM,39264011,0.06,6.94,0.06,19.23,1,0.74,0.73,3.65,-1.06,2,KGS
OTHER BANGLES,39264019,0.77,0.02,1.03,-39.48,0.75,0.2,-0.84,1.78,-2.37,2.78,KGS
BEADS OF POLYURETHANE FOAM,39264021,0.12,1.85,0,-50,0,39,-1.33,0.86,-5.56,0,KGS
OTHER BEADS,39264029,29.2,1.99,0.4,-0.82,73,57.81,-0.54,1.01,11.44,4.24,KGS
STATUETTES OF POLYURETHANE FOAM,39264031,0,-5.56,0,-50,0,0.27,-5.56,0,-5.56,0,KGS
OTHER STATUETTES,39264039,3.65,2.44,2.19,-3.34,1.67,1.22,-2.08,1.39,0.35,7.59,KGS
TABLE AND OTHER HOUSEHOLD ARTICLES FOR DECORATION OF POLYURETHANE FOAM,39264041,0.06,11.11,0,0,0,0,-0.59,3.5,0,0,KGS
OTHR TABLEANDOTHR HOUSHOLD ARTCL OF DECORATN,39264049,9.76,0.85,1.1,27.83,8.87,10.92,-0.73,1.23,3.01,8.26,KGS
DECORATIVE SHEETS OF POLYURETHANE FOAM,39264051,0.36,-1.18,0.01,25,36,57.67,-0.28,3.62,14.85,15.77,KGS
OTHER DECORATIVE SHEETS,39264059,4.16,0.61,0.1,-22.73,41.6,23.69,-3.24,2.11,-0.34,5.2,KGS
SEQUINE,39264060,0.48,1.78,0.02,50,24,31.4,-0.12,6.61,4.75,4.13,KGS
OTHR STATUETTES AND OTHR ORNAMENTAL ARTICLE OF POLYURETHANE FOAM,39264091,0.09,-2.73,0,0,0,0,-116.1,8.44,0,0,KGS
OTHR STATUETE AND OTHR ORNAMENTAL ARTICL NES,39264099,6.19,5.1,0.29,-22.12,21.34,8.58,2.22,2.52,-1.26,4.29,KGS
PVC BELT CONVEYOR,39269010,12.51,-0.21,19.88,-7.15,0.63,0.58,-1.37,4.47,-0.26,3.5,KGS
COUPLERS&PACKING RING& O RINGS AND LIKE OF POLYURETHANE FOAM,39269021,0.37,-1.84,0.08,10,4.63,7.25,-2.84,29.46,-35.28,57.72,KGS
OTHR COUPLERS&PACKING RING& O RINGS AND LIKE,39269029,16.59,1.39,5.54,4.07,2.99,2.7,-2.26,10.84,1.77,19.57,KGS
LASTS WITH OR WITOUT STEEL HINGS;EVAAND GRAPESHEET FOR SOLANDHEEL;WELT OF POLYURETHN FOAM,39269031,0.05,-3.1,0.01,-12.5,5,7.8,-25.07,1000,3.74,19.27,KGS
OTHER LASTS WITH OR WITOUT STEEL HINGS; EVAAND GRAPE SHEET FOR SOLEANDHEELS; WELT,39269039,3.09,0.64,0.39,-10.47,7.92,6.1,-1.25,7.38,0.32,10.44,KGS
RING BUCKL TACK WASHR OTHR DECO FITTNGS OFPALSTIC USED TRIM AND EMBELLSHMNT FOR LEATHRPROD PATTERN FOR LEATHR OF P,39269041,0.65,17.49,0.01,-33.33,65,11.2,26.49,34.28,42.58,15.48,KGS
OTHR RING BUCKL TACK WASHR OTHR DECO FITTNOF PALSTIC USED TRIMING AND EMBELLSHMNT FOR LEATHR PROD; OTHR PATTERN FOR,39269049,7.26,0.71,7.75,12.7,0.94,1.01,-1.65,5.27,-0.15,5.24,KGS
RETROREFLECTIVE SHEETING EXCL .HEADNG 3920OF POLYURETHANE FOAM,39269051,0.17,7.32,0.14,100,1.21,1.39,-1.18,2.18,-57.55,43.67,KGS
OTHR RETROREFLCTIV SHEET EXCL .HEADNG 3920,39269059,3.19,2.34,2.14,-5.97,1.49,1.05,-1.86,6.63,-0.31,2.4,KGS
HANGERS OF POLYURETHANE FOAM,39269061,0.02,-4.6,0.46,6.1,0.04,0.22,-3.51,2.97,0.95,3.31,KGS
OTHER HANGERS,39269069,25.22,-0.04,49.79,4.1,0.51,0.54,-1.41,3.13,-0.44,2.1,KGS
PLASTIC OR NYLON TIPPED HAMMER; INSULATINGLINER OF NYLON& HDPE OF POLYURETHANE FOAM,39269071,0.18,-2.9,0.02,-12.5,9,13.1,0.33,5.48,-53.02,12.76,KGS
OTHER PLASTIC OR NYLON TIPPED HAMMERS; INSULATING LINER OF NYLON& HDPE,39269079,9.18,0.16,3.79,-4.63,2.42,2.2,6.13,14.83,-1.19,4.36,KGS
POLYPROPYLENE ARTICLES&N.E.S.,39269080,29.82,-0.08,256.6,3.62,0.12,0.12,-0.6,1.44,-0.55,1.84,KGS
OTHR ARTICLE OF PLASTIC OF POLYURETHN FOAM,39269091,3.55,-1.64,1.23,6.6,2.89,4.16,-3.3,3.01,0.72,7.33,KGS
OTHR ARTICLE OF PLASTIC NES,39269099,1049.44,0.4,462.01,5.55,2.27,2.33,-1.2,6.56,-0.52,3.16,KGS
PREVULCANISED NATRL RUBR LATEX,40011010,1.35,-2.95,0.69,9.83,1.96,4.13,1,1.54,0.39,1.76,KGS
NATRL RUBR LATEX NOT PREVULCANISED,40011020,10.38,0.95,3.01,86.4,3.45,5.85,1.16,1.52,0.05,1.62,KGS
NATRL RUBR IN SMKD SHEETS,40012100,125.91,2.76,1.09,-21.52,115.51,55.39,0.9,2.24,-0.15,2.25,KGS
TECHNICALLY SPCFD NATRL RUBR(TSNR),40012200,923.5,0.86,3.75,26.74,246.27,299.75,0.61,1.91,1.04,1.91,KGS
NATURAL RUBBER IN HEVEA,40012910,0,0,0,0,0,0,0,0,0,0,KGS
NATURAL RUBBER IN PALE CREPE,40012920,0.06,-3.92,0,0,0,0,3.27,2.73,0,0,KGS
NATURAL RUBBER IN ESTATE BROWN CREPE,40012930,0.09,-2.43,0,0,0,0,0.05,1.32,0,0,KGS
ON EXTENDED NATURAL RUBBER,40012940,0,0,0,0,0,0,0,0,0,0,KGS
OTHER NATRL RUBBR NON-LATEX,40012990,7.58,0.1,0.07,55,108.29,175.88,0.17,1.97,4.37,1.83,KGS
BALTA GUTTA-PERCHA ETC AND SMLR NATRL GUMS,40013000,0.09,-1.39,0.09,0,1,1.25,-22.45,53.73,-1.23,1.71,KGS
LATEX (SBR/XSBR),40021100,19.93,0.3,41.94,15.74,0.48,0.56,-0.46,1.48,-0.02,1.17,KGS
OIL EXTENDED STYRENE BUTADIENE RUBBER,40021910,70.68,1.72,3.41,-6.73,20.73,15.27,-0.94,1.99,0.21,1.7,KGS
STYRENE BUTADIENE RUBBER WTH STYRENE CONTENT OF OVER 50 PERCENT,40021920,3.44,4.47,1.89,-11.32,1.82,0.99,-0.8,1.98,-0.49,1.84,KGS
STYRENE BUTADIENE STYREDE OIL BOUND COPOLYMER,40021930,13.43,-1.75,0.04,-20,335.75,301.21,-1.72,1.99,-2.61,1.42,KGS
OTHERS SYNTHETIC RUBR AND PACTICE DRVD FROM OILS IN PRMRY FORMS/IN PLTS SHTS ETC MXTRS EXCL. LATEX,40021990,319.74,1.15,15.44,18.3,20.71,22.59,-0.94,2.09,0.09,1.86,KGS
BUTADIENE RUBBER (BR),40022000,301.97,1.43,5.03,-34.66,60.03,18.87,-0.89,1.98,1.3,2,KGS
ISOBUTENE-ISOPRENE(BUTYL) RUBBER (IIR),40023100,34.5,-1.97,34.61,33.73,1,2.02,0.01,2.1,-0.02,1.82,KGS
HALO-ISOBUTENE-ISOPRENE RUBR (CIIR/BIIR),40023900,117.67,-0.71,9.13,-21.18,12.89,9.22,-0.47,2.69,0.02,2.17,KGS
LATEX&CHLOROPRENE RUBR,40024100,1.16,0.98,0,-50,0,51.5,-0.66,2.91,-5.56,0,KGS
OTHR CHLOROPRENE(CHLOROBUTADIENE) RUBR(CR),40024900,103.03,0.38,0.47,0.36,219.21,209.7,-0.42,4.58,-0.38,5.61,KGS
ACRYLONITRILE-BUTADINE RUBR LATEX,40025100,5.29,5.07,20.6,74.2,0.26,0.3,-1.78,1.18,-0.43,0.82,KGS
OTHR ACRYLONITRILE-BUTADIENE RUBR (NBR),40025900,102.76,-0.65,2.79,-10.14,36.83,34.01,-1.67,2.4,-0.73,2.97,KGS
ISOPRENE RUBBER,40026000,49.43,4.88,0.1,-28.57,494.3,160.46,-0.28,2,-1.96,1.94,KGS
ETHYLENE-PRPYLENE-NON-CONJUGATED,40027000,152.28,0.28,3.47,1.33,43.88,43.13,-1.54,2.23,-0.9,2.77,KGS
LATEX,40028010,2.79,-1.34,0,0,0,0,0.29,7.15,0,0,KGS
CHEMLY MODIFIED FORM OF NATURAL RUBBER INC GRAFT RUBBER,40028020,3.23,0.81,0,0,0,0,0.75,1.97,0,0,KGS
OTHER FORM OF MXTURES OF NATURAL RUBBER,40028090,5.74,3.06,0.26,-0.63,22.08,16.04,-0.35,2.12,1.02,4.01,KGS
OTHR RUBER LATEX,40029100,2.49,-2.14,6.39,35.43,0.39,0.83,2.17,3.21,-0.51,1.22,KGS
FACTICE (RUBR SUBSTITUTE DRVD FROM OIL),40029910,1.72,1.4,0.57,7,3.02,2.82,-0.54,2.57,-0.31,1.86,KGS
TREAD RUBR COM&CUSHION COM&CUSHION GUM/ TREAD GUM FOR RESOL/REPAI/RETREA RUBR TYRE,40029920,0,-5.56,0.69,2.54,0,0,-5.56,0,0.09,2.61,KGS
SYNTHETIC RUBBER SYNTAX&NOT NES.,40029990,73.55,0.64,1.75,-16,42.03,28.66,-0.66,3.15,-0.78,2.45,KGS
RECLAIMED RUBR IN PRMRY FORMS OR IN PLATES SHEETS OR STRIP,40030000,0.75,2.36,70.06,-2.07,0.01,0.01,2.16,0.89,-0.51,0.81,KGS
WASTE&PARINGS AND SCRAP OF RUBR(BESIDES HARDRUBR) AND PWDR 9 GRNLS OBTAINED THEREFROM,40040000,205.75,5.21,3.53,21.36,58.29,47.87,0.09,0.11,0.08,0.56,KGS
RUBR COMPOUNDED WTH CRBN BLACKS/SILICA,40051000,434.69,7.08,9.46,-1.64,45.95,25.98,0.21,2.24,-1.17,2.06,KGS
CAN SEALING COMPOUND,40052010,1.22,1.18,0.17,20.83,7.18,8,-0.34,3.22,0.82,2.55,KGS
OTHERS,40052090,1.66,0.78,4.15,17.44,0.4,0.45,-1.11,5.77,-1.33,2.21,KGS
HOSPITAL SHEETING,40059110,0.06,-4.24,0.19,-11.49,0.32,0.88,1.27,2.3,-0.49,2.65,KGS
OTHER PLATES SHEETS AND STRIP,40059190,22.63,-0.98,8.31,-10.04,2.72,2.66,-0.54,0.82,0.4,3.18,KGS
GRNLS OF UNVULCNSD NATRL/SYNTHTC RUBR CMPNDED READY FOR VULCNSTN (EXCL RAW RUBR),40059910,9.76,12.18,0.41,125.71,23.8,24.91,0.62,3.67,0.27,2.83,KGS
OTHERS CMPNDED RUBR UNVULCNSD IN PRMRY FORMS/IN PLATES SHEETS/STRIPS EXCL. SILICA/CAN SEALING/HOSPITAL SHEETING,40059990,17.94,0.35,19.42,71.63,0.92,1.58,-0.65,0.87,-0.47,2.63,KGS
"""CAMEL-BLACK STRPS FR RETREADING RUBR TYR",40061000,0,-5.56,1.75,3.68,0,0.01,-5.56,0,0.15,2.11,""""
THREAD OF UNVULCNSE RUBR&NOT COVERED ELSEWHERE,40069010,0.01,-3.7,0.15,68.42,0.07,0.29,-3.24,2.58,1.37,2.87,KGS
OTHERS FORMS AND ARTICLES OF UNVLCANISED RUBBER EXCL. CAMEL BACKSTRIPS,40069090,3.82,0.94,2.69,10.13,1.42,1.45,-0.83,0.73,-0.67,2.29,KGS
THREAD OF VULENSE RUBR&NOT COVRD ELSEWHERE,40070010,1.43,4.21,17.16,6.61,0.08,0.06,-1.07,2.47,-0.16,2.96,KGS
CORD OF VULCNSE RUBR& NOT COVRED ELSEWHERE,40070020,0.06,1.59,0.04,-28.57,1.5,0.63,-2.71,0.17,0.73,9.08,KGS
OTHER THREAD/CORD OF VULCNSE RUBBER,40070090,4.79,-0.9,0.99,12.92,4.84,6.55,-1.1,2.62,3.84,5.82,KGS
PLTS&SHTS STRP OF MICRO-CELLULAR RUBR,40081110,1.35,0.56,7.32,-13.18,0.18,0.14,-0.27,9.73,-0.33,4.28,KGS
PLTS&SHTS&STRP OF OTHER CELLULAR RUBR,40081190,16.13,0.79,2.46,-5.97,6.56,5.4,-1.34,4.51,0.78,4.65,KGS
BLOCK OF MICRO-CELLU RUBR NOT OF LATAX FOAM SPONGE USED IN MANUF OF SOLES/LEELS/ COMBINED FOR FOOTWEAR,40081910,0.08,5.56,0.09,-17.07,0.89,0.4,-1.81,4.11,0.14,1.29,KGS
OTHER FORM OF CELLULAR RUBR,40081990,2.08,2.18,1.79,18.49,1.16,1.15,6.01,12.43,0.48,4.62,KGS
PLTS&SHTS&STRIPS OF NON-CELLULAR RUBR USEDIN MANUF OF SOLE/HEEL/COMBINED FOR FOOT WEAR,40082110,2.86,4.54,0.12,-6.1,23.83,14.3,3.62,3.01,2.11,3.82,KGS
PLTS&SHTS&STRIPS OF NON-CELLULAR RUBR FOR RESOLING/REPAIRING/RETREADING RUBR TYRES,40082120,0.12,0.16,18.07,9.09,0.01,0.01,-0.21,1.02,0,3.17,KGS
OTHER FORM OF PLTS&SHTS&STRIPS OF NON- CELLULAR RUBR,40082190,11.72,1.65,84.75,3.77,0.14,0.12,-1.16,4.15,-0.34,3.39,KGS
RUBR SHEETS/RESIN RUBR SHEET FOR SOLE/HEEL OF OTHERS FORM OF NON-CELLULAR RUBR,40082910,0.83,1.06,0.12,-12.5,6.92,4.87,2.07,3.22,-0.71,2.66,KGS
BLOCK USED IN MANUF OF SOLE/HEEL/COMBINED FOR FOOTWEAR OF OTHER NON-CELLULAR RUBR,40082920,0.22,0.99,0.02,-33.33,11,3.9,0.12,10.11,8.44,2.83,KGS
LATEX FOAM SPONGE OF OTHER NON-CELLULAR RUBR,40082930,1.31,-0.56,0.06,-41.09,21.83,5.31,-1.07,5.45,-1.76,4.65,KGS
TREADRUBR/PACKING STRIP FOR RESOLING/ REPAIRING/RETREADING RUBR TYRES OF OTHER NON-CELLULAR RUBR,40082940,0.06,-0.29,3.67,0.46,0.02,0.02,-1.78,0.36,-0.5,1.99,KGS
OTHER FORM OF NON/CELLULAR RUBR,40082990,10,1.01,5.78,-3.83,1.73,1.44,0.71,4.58,0.74,5.25,KGS
TUBES&PIPES AND HOSES OF VULCNSD RUBR NOT REINFORCED/OTHRWSE COMBINED WTH OTHR MATERIALS WITHOUT FITTINGS,40091100,13.39,0.91,20.99,10.48,0.64,0.66,-0.89,8.89,0.55,12.44,KGS
TUBES&PIPES AND HOSES OF VULCMSD RUBR NOT REINFORCED/OTHERWSE COMBINED WITH OTHER MATERIALS WITH FITTINGS,40091200,5.81,0.33,4.16,15.27,1.4,1.62,0.03,14.63,0.29,14.07,KGS
TUBES&PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHRWSE CMBND ONLY WTH METAL MATERIALS WITHOUT FITTINGS,40092100,38.04,1.46,60.97,-5.25,0.62,0.48,-0.15,4,0.09,4.68,KGS
TUBES&PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHERWSE CMBND ONLY WITH METAL WITH FITTINGS,40092200,21.81,0.88,12.24,5.52,1.78,1.73,-0.35,14.25,0.04,13.42,KGS
TUBES& PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHRWSE CMBND ONLY WTH TEXTILE MATERIALS WTHOUT FITTINGS,40093100,30.49,1.46,73.58,6.31,0.41,0.38,-0.38,12.06,-0.06,9.15,KGS
TUBES&PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHERWSE CMBND ONLY WITH TEXTILES MATERIALS WITH FITTINGS,40093200,11.93,0.72,34.25,7.43,0.35,0.35,-1.78,19.73,-0.07,6.3,KGS
TUBES.PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHRWSE COMBINED WTH OTHR MATERIALS WITHOUT FITTINGS,40094100,20.93,1.01,16.74,-16.52,1.25,0.81,-0.49,9.96,-0.49,8.68,KGS
TUBES&PIPES&ANDHOSES OF VULCNSD RUBR REINFORCED OTHERWSE COMBINED WITH OTHER MATARIALS WITH FITTINGS,40094200,31.78,-1.16,10.63,33.31,2.99,5.11,0.64,13.39,4.73,10.84,KGS
CNVYR BLT/BLTNG RENFRCD ONLY WITH METAL WHERE RUBR COMPA CONTENT LESS THAN 25% BY WEIGHT,40101110,1.69,4.02,0.18,0.94,9.39,6.52,-0.16,16.36,3.19,7.65,KGS
CNVYR BLT/BLTNG REINFORCED ONLY WITH METAL WHERE RUBR COMPD MORE THAN 25% BY WT,40101190,15.44,0.61,8.03,15.21,1.92,2.16,-2.53,3.16,-0.8,3.06,KGS
(CNVYR BLT/BLTNG)RENFRCD WTH TXTL MTRLS WHERE RUBR COMPD CONTENT LESS THAN 25% BY WEIGHT,40101210,0.37,0.55,0.05,-27.94,7.4,3.54,-2.31,10.1,-1.56,6.86,KGS
(CNVYR BLT/BLTNG)RENFRCD WTH TXTL MTRLS WHERE RUBR COMPD CONTENT MORE THAN 25% BY WEIGHT,40101290,18.79,0.38,87.31,0.84,0.22,0.21,0.03,1.7,0.37,3.26,KGS
OTHER CNVYR BLT/BLTNG WHERE RUBR COMPD CONTENT LESS THAN 25% BY WEIGHT,40101910,0.1,1.11,0.01,-35,10,3.18,4.2,11.85,-1.69,3.16,KGS
OTHER CNVYR BLT/BLTNG WHERE RUBR COMPN MORE THAN 25% BY WT.,40101990,5.44,0.41,0.46,-17.61,11.83,7.97,-0.59,7.99,-2.42,4.81,KGS
ENDLESS TRNSMSN BLT/BLTNG OF V-BLT&V- RIBBDOF CIRCUMFRNS BETWN 180 CM AND 240 CM WHERE RUBR COMPD LESS THAN 25% BY,40103110,0.67,12.75,0.03,40,22.33,16,1.47,10.95,1.57,6.86,KGS
ENDLES TRNSMSN BLT/BLTNG OF V-BLT/V- RIBBEDOF CIRCUMFRNS BETWN 180 CM AND 240 CM WHERE RUBR COMPD MORE THAN 25% BY,40103190,9.61,1.02,2.33,11.1,4.12,4.22,-0.02,21.37,2.75,28.12,KGS
ENDLESS TRNSMSN BLT/BLTNG OF V-BLT/OTHER THAN V-RIBBED OF CIRCUM BETWN 60 CM AND 180 CM WHERE RUBY COMPN LESS THAN 25%,40103210,0.07,1.31,0.25,67.19,0.28,0.42,25.1,37.61,-0.72,14.32,KGS
ENDLESS TRNSMSN BLT/BLTNG OF V-BLT/OTHER THAN V-RIBBED OF CIRCUM BETWN 60 CM AND 180 CM WHERE RUBY COMPD MORE THAN 25%,40103290,8.29,2.17,4.39,108.29,1.89,3.06,-0.6,16.85,0.08,9.51,KGS
ENDLESS TRNSMSN BLT/BLTNG OF V-BLT/V- RIBBDOF CIRCUM BETWN 60 CM AND 180 CM WHERE RUBY COMPN LESS THAN 25% BY WT.,40103310,0,-5.56,0.2,80.43,0,0.02,-5.56,0,3.65,13.44,KGS
ENDLESS TRNSMSN BLT/BLTNG OF V-BLT/V- RIBBDOF CIRCUM BETWN 60 CM AND 180 CM WHERE RUBY COMPD MORE THAN 25% BY WT.,40103390,1.65,1.01,10.25,-14.54,0.16,0.11,-1.38,11.32,1.58,14.18,KGS
ENDLESS TRNSMSN BLT/BLTNG OF V-BLT/OTHER THAN V-RIBBED OF CIRCUM BETWN 180 CM AND 240CM WHERE RUBY COMPD LESS THAN 2,40103410,0.05,0,0.14,475,0.36,0.28,6.46,103.31,1.51,11.8,0
ENDLESS TRNSMSN BLT/BLTNGS OF V-BLT OTHER THAN V-RIBBED OF CIRCUM BETWN 180 CM AND 240CM WHERE RUBY COMPD MORE THAN 2,40103490,0.76,-0.47,0.76,182.65,1,2.6,-0.3,8.83,1.58,8.84,KGS
ENDLESS SYNCHRONOUS BELTS&OF A CIRCUMFRNCEBETWN 60CM AND 150CM WHERE RUBY COMPD LESS THAN 25% BY WT.,40103510,3.95,68.41,0,0,0,0,0.1,104.25,0,0,KGS
